File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
4ab04b3b-fa1f-45ef-9cea-b92e88b35d0b	jhu-usc.edu_KIRC.HumanMethylation450.3.lvl-3.TCGA-CJ-4905-11A-01D-1424-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-CJ-4905	TCGA-CJ-4905-11A	Solid_Tissue_Normal
088fa925-bbe6-44ad-b97f-47f7ba7debb9	jhu-usc.edu_KIRC.HumanMethylation450.5.lvl-3.TCGA-A3-3358-01A-01D-1536-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-A3-3358	TCGA-A3-3358-01A	Primary_Tumor
c510ba42-c8f6-407f-9662-35e156c4e442	6c4b3467-bf5a-4241-a580-44eea16df109.FPKM-UQ.txt	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CJ-6030	TCGA-CJ-6030-11A	Solid_Tissue_Normal
519bb9c4-4cf7-4f93-8151-38ee1739d826	jhu-usc.edu_KIRC.HumanMethylation27.4.lvl-3.TCGA-CZ-4862-11A-01D-1303-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-CZ-4862	TCGA-CZ-4862-11A	Solid_Tissue_Normal
cb18a2e0-bb7b-4bfb-86b6-8bebe6b299d7	jhu-usc.edu_KIRC.HumanMethylation450.1.lvl-3.TCGA-B0-4707-01A-01D-1275-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-B0-4707	TCGA-B0-4707-01A	Primary_Tumor
c067349b-795b-46b1-a868-8e5ec2f55450	205b1429-92c6-474e-ad2c-84e8fd749a62.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-CZ-5985	TCGA-CZ-5985-01A	Primary_Tumor
9fff8579-113e-46a2-9263-c1379fb11171	8677fd49-4e65-4553-83ec-30d8c9dee4a1.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-B0-4824	TCGA-B0-4824-01A	Primary_Tumor
0a417f7b-3eb8-43dd-b4dc-a593d8d1bc12	jhu-usc.edu_KIRC.HumanMethylation450.3.lvl-3.TCGA-BP-5182-01A-01D-1424-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-BP-5182	TCGA-BP-5182-01A	Primary_Tumor
d0cbc2b8-b29d-4d7e-b538-ac1c752b9963	2af36e33-016e-4c5c-8922-bcb2da6827cd.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-CZ-5454	TCGA-CZ-5454-11A	Solid_Tissue_Normal
46681652-700e-42fd-889d-a0a927c46cd0	70657055-b8c0-492e-b92a-22d970ad386f.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-AK-3453	TCGA-AK-3453-01A	Primary_Tumor
f6e9ade5-d9b4-433e-a866-e547186ff42a	d76831de-59a7-4676-975b-2301724ca535.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-KIRC	TCGA-CJ-4916	TCGA-CJ-4916-01A	Primary_Tumor
