File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
03894a0a-426d-49ef-82ae-dcc53217fefc	9a5fda4f-c1c8-4ea5-bcc3-dffc9e70ae5f.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BLCA	TCGA-E7-A7PW	TCGA-E7-A7PW-01A	Primary Tumor
1a5a3b98-aeb0-44d6-8f6a-91316ad64ca4	jhu-usc.edu_BLCA.HumanMethylation450.13.lvl-3.TCGA-BT-A42E-01A-11D-A23V-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BLCA	TCGA-BT-A42E	TCGA-BT-A42E-01A	Primary Tumor
a626b6b0-c9bb-45e8-8a07-cfeb859c111b	jhu-usc.edu_BLCA.HumanMethylation450.10.lvl-3.TCGA-FD-A3NA-01A-11D-A21B-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BLCA	TCGA-FD-A3NA	TCGA-FD-A3NA-01A	Primary Tumor
0b2cbc97-8b6a-43a8-b1e7-60b0fb3955b1	8d65dbc2-fb70-40c1-aed9-b46144c1a156.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BLCA	TCGA-S5-A6DX	TCGA-S5-A6DX-01A	Primary Tumor
ce63011f-a524-47fa-b59e-4bf82da96ebb	jhu-usc.edu_BLCA.HumanMethylation450.1.lvl-3.TCGA-BT-A0S7-01A-11D-A10W-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BLCA	TCGA-BT-A0S7	TCGA-BT-A0S7-01A	Primary Tumor
3bfe604b-c183-4135-9a9a-102e20767311	87bed1c7-0f8e-4415-ad1a-12feecb2e56a.FPKM-UQ.txt	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-CU-A0YN	TCGA-CU-A0YN-11A	Solid Tissue Normal
60d70900-f4cf-425d-9610-74751a30075e	jhu-usc.edu_BLCA.HumanMethylation450.9.lvl-3.TCGA-G2-A3VY-01A-11D-A231-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BLCA	TCGA-G2-A3VY	TCGA-G2-A3VY-01A	Primary Tumor
c807dd46-ce10-49ff-a1fb-3f4f4ccd7c12	jhu-usc.edu_BLCA.HumanMethylation450.11.lvl-3.TCGA-GC-A3RB-01A-12D-A223-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BLCA	TCGA-GC-A3RB	TCGA-GC-A3RB-01A	Primary Tumor
41781ef2-4b3d-4c1e-8150-ab79933cfe63	jhu-usc.edu_BLCA.HumanMethylation450.5.lvl-3.TCGA-H4-A2HO-01A-11D-A17Y-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BLCA	TCGA-H4-A2HO	TCGA-H4-A2HO-01A	Primary Tumor
d21756e7-702d-4e4b-9d9a-5a12f61fbcad	jhu-usc.edu_BLCA.HumanMethylation450.22.lvl-3.TCGA-XF-A9SI-01A-11D-A392-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BLCA	TCGA-XF-A9SI	TCGA-XF-A9SI-01A	Primary Tumor
ea9aa392-f630-4931-9d7a-44601513cd1d	8738c36b-b87d-4482-a5d3-cd0977faa314.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BLCA	TCGA-GC-A6I3	TCGA-GC-A6I3-11A	Solid Tissue Normal
622fffe8-632e-4bb2-8eff-652f39a850d2	63eee5ed-417c-41cb-bdcf-7635b42e2246.FPKM-UQ.txt	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-BT-A42C	TCGA-BT-A42C-01A	Primary Tumor
0c42981e-ef6d-489c-9cbf-ff93eb653889	b1aec3cf-8260-4a8d-a980-b7409815ac6a.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BLCA	TCGA-4Z-AA83	TCGA-4Z-AA83-01A	Primary Tumor
b7643413-703f-4716-8b53-ec58f1a22984	1dc10cee-ec11-4083-bba9-0c6e79445b42.FPKM-UQ.txt	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-E5-A4U1	TCGA-E5-A4U1-01A	Primary Tumor
c308178c-c00f-4adf-9276-6abcb586729a	4ee8b7b0-2261-4ce8-8160-4b7c6847da45.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BLCA	TCGA-GV-A3QK	TCGA-GV-A3QK-01B	Primary Tumor
1accd598-4c5e-4df5-a7bc-292cb285985a	542816b6-6954-484f-9c1d-33bad3ecc0af.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BLCA	TCGA-XF-AAMF	TCGA-XF-AAMF-01A	Primary Tumor
6f7c95c9-f4c9-452e-87b6-d33d42b8add7	a8de898e-5e41-44b4-98b7-373a67a28ae8.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BLCA	TCGA-XF-A8HH	TCGA-XF-A8HH-01A	Primary Tumor
c70687ea-264a-442a-b472-a859b17c4d1a	ac7e6389-9eca-4a8b-ba59-f284eaa2c55f.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BLCA	TCGA-KQ-A41Q	TCGA-KQ-A41Q-01A	Primary Tumor
d951d06b-435a-4fd5-8e54-906f384aa666	c2cc4c19-ace6-4e6f-a1d2-18ddf29de194.FPKM-UQ.txt	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-FD-A3B4	TCGA-FD-A3B4-01A	Primary Tumor
89b58ac6-a85a-4d56-ac3f-ea7c1b76c295	6d617c73-500a-413a-88b6-009279650294.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BLCA	TCGA-BT-A20Q	TCGA-BT-A20Q-11A	Solid Tissue Normal
827bacb7-49c2-4ce9-9cf5-6d21d290aec8	3893a3ce-8554-4de1-9070-4ad443e4fa03.FPKM-UQ.txt	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-BL-A13J	TCGA-BL-A13J-01A	Primary Tumor
19e53e7e-1065-4454-a2bc-e1788be74a56	30d33e0d-c983-4ee2-9ef7-aba934b8c2e9.FPKM-UQ.txt	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-DK-A6B2	TCGA-DK-A6B2-01A	Primary Tumor
3e5438b1-2fb0-4391-a859-9b656ed0d9e4	jhu-usc.edu_BLCA.HumanMethylation450.13.lvl-3.TCGA-CF-A47X-01A-31D-A23V-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BLCA	TCGA-CF-A47X	TCGA-CF-A47X-01A	Primary Tumor
8ae8d0b3-1acc-4dc1-a80e-ce22ba4f7b5e	jhu-usc.edu_BLCA.HumanMethylation450.1.lvl-3.TCGA-C4-A0F0-01A-12D-A10W-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BLCA	TCGA-C4-A0F0	TCGA-C4-A0F0-01A	Primary Tumor
3450984e-02f5-40aa-8aaa-a694460f3b5d	1254eece-b045-4006-be73-559b92f6f7de.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BLCA	TCGA-PQ-A6FI	TCGA-PQ-A6FI-01A	Primary Tumor
a104d9ec-a614-48c4-8b8a-29d8b7fcdad6	930f390e-8918-428a-9236-d40b32eeec11.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-BLCA	TCGA-XF-AAMY	TCGA-XF-AAMY-01A	Primary Tumor
eaebb247-0c46-4650-b436-9c251944d017	jhu-usc.edu_BLCA.HumanMethylation450.24.lvl-3.TCGA-XF-A9T5-01A-11D-A42F-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BLCA	TCGA-XF-A9T5	TCGA-XF-A9T5-01A	Primary Tumor
c8b0e8bf-bb9a-46ed-abb7-f2d84df82748	jhu-usc.edu_BLCA.HumanMethylation450.15.lvl-3.TCGA-K4-A5RI-01A-11D-A28N-05.gdc_hg38.txt	DNA Methylation	Methylation Beta Value	TCGA-BLCA	TCGA-K4-A5RI	TCGA-K4-A5RI-01A	Primary Tumor
